year,countrycode,Shanon_index
2020,CY,3.3870944583068585
2013,NL,3.1825943759083688
2021,AQ,1.2617186695936009
2016,TT,3.7864969484860747
2012,MX,3.4137036579221745
2016,CW,3.7146283846464923
2018,HK,4.3301440153823094
2006,GT,6.0799333973394782
2019,MN,4.1361319776450838
2022,CH,4.686695864233851
1967,US,2.7590387051321672
2006,AR,4.5767166763922216
1999,PG,4.943014925642756
2006,TR,3.4432052375812492
2012,PH,4.1161991883001461
2004,GM,4.9701519871345488
2016,HK,4.2690148348993935
2004,IL,2.9435663842499888
2015,SG,4.2093905443826607
2002,IE,2.6161783542944339
2013,PE,3.96986874847087
1979,IT,5.270448580008817
2004,ES,3.1987970608352643
2019,AE,3.3298168619195763
2012,LK,4.2748261414725839
2012,NO,3.9957789482385104
1981,GB,2.8877128865837527
1989,ES,3.2637183630429711
2017,RU,3.2649771663623288
2004,TT,4.42654632096822
1984,GB,3.0683355366157921
2013,BS,4.2885982786086
1993,MA,4.0201278368846483
1995,TW,4.0808035066063582
2011,ZA,4.6037637484547282
2015,PW,3.4665273543087189
1969,US,2.3135115779073647
2005,AE,3.5156129112434242
2009,AE,3.8717406063173052
2019,PM,2.72944384373047
1988,IL,3.8003458234086507
2018,HR,4.3282924895849648
2012,TW,4.4319310809216859
1987,GB,2.4645752131182217
2011,NL,5.0432339422184738
1981,NL,2.9483052898251012
2018,GN,4.5589255839949576
2017,LK,4.6027624367902593
2016,PH,4.2690999876791142
2021,JO,4.0504652820437643
2013,NP,4.7598560143340771
2009,VN,5.4151521473867339
1996,TH,5.2936810550866582
1994,PT,3.4922217374213256
2013,FJ,3.4071089507473404
2017,MZ,4.563279447055729
2020,LA,4.4639467001332962
2015,CW,3.5560148949306933
2010,PT,3.7057546509138124
2019,VE,4.3896066639524856
2016,IT,4.4167448554519044
1997,BO,6.8582394109126881
2007,CO,4.3931506418519035
2020,UA,4.13464857988306
2018,MT,3.3052726539657309
1964,GB,2.8095473470658052
1973,GB,2.5254026680862207
2003,IL,2.6723616010310649
1985,GB,2.7991809130158853
2015,GE,0.45907958691302925
2013,GM,4.7489504754878844
2013,UG,4.7138262930368446
2017,BW,1.6987641589026388
2000,BT,4.9088982212496237
2012,VG,3.3575696046500108
2002,UG,3.5162998314070228
2008,MA,4.5444595493058122
2020,GW,4.08741015714465
2014,RS,3.2574847618447564
2022,PF,2.9822264666835112
1994,CD,4.1535262565287594
1994,DE,2.9848802825080556
1945,US,2.5203009915381047
2019,KG,2.9889331033804623
2012,PE,4.22752348840884
2012,NL,4.9919018346757973
2021,KH,4.5501314414411684
2013,CU,3.8966833641159151
2010,PH,4.4574139780947961
2019,IL,3.9727385870807379
2014,SX,3.3848875907316986
2014,UA,3.1087202753888383
1990,AE,4.0662121943107206
2008,MG,5.9898275895002078
2007,TR,3.8092097662195408
1994,GB,3.21118253923279
2005,NP,3.6154737253352884
2018,NG,4.8964685832141743
2012,BG,3.3846119071893876
2017,GR,4.4762174142159461
2020,MZ,4.1806098572102792
2014,MY,5.4322120127806937
2018,TL,3.8988358578060018
2020,NA,3.1065487476249993
2008,KZ,2.7648155527412945
2003,BR,6.6440096426946029
1993,KE,0.19593394378082091
1985,SE,3.835252389953383
