"Country_Name","Country_Code","Time","GDP","Exports","Imports","CO2_GDP","CO2_percapita","Shannon_index","f_assinadas","Forest_area","Land_area","Mobile_cell","Population","Living Planet index","lpi_regions","v2x_polyarchy","v2x_libdem","v2x_partidem"
"Belgium","BEL",2008,517000000000.00000,80.88062,80.20783,0.24816,9.96411,0.2102,50,22.63395,30280.00000,105.73324,10709973.00000,104.43,"Europe and Central Asia",0.891,0.827,0.639
"Belgium","BEL",2009,483000000000.00000,68.83400,66.57204,0.23711,9.25341,4.3944,50,22.70849,30280.00000,109.01631,10796493.00000,104.43,"Europe and Central Asia",0.891,0.829,0.639
"Belgium","BEL",2010,481000000000.00000,75.85006,74.14761,0.24659,9.80882,4.5416,61,22.78303,30280.00000,111.73103,10895586.00000,105.54,"Europe and Central Asia",0.895,0.831,0.642
"Belgium","BEL",2011,523000000000.00000,80.69736,80.79636,0.21892,8.74125,4.6332,61,22.77926,30280.00000,114.05831,11038264.00000,103.02,"Europe and Central Asia",0.897,0.835,0.644
"Belgium","BEL",2012,496000000000.00000,80.40449,80.34154,0.21458,8.57803,3.9388,97,22.77550,30280.00000,111.62378,11106932.00000,98.61,"Europe and Central Asia",0.897,0.835,0.644
"Belgium","BEL",2013,522000000000.00000,79.32435,78.52650,0.21646,8.65195,4.6312,97,22.77173,30280.00000,110.91536,11159407.00000,92.28,"Europe and Central Asia",0.896,0.834,0.643
"Belgium","BEL",2014,535000000000.00000,79.80101,78.98221,0.19944,8.06155,3.4765,101,22.76797,30280.00000,113.93969,11209057.00000,90.60,"Europe and Central Asia",0.896,0.833,0.643
"Belgium","BEL",2015,462000000000.00000,77.80528,76.38726,0.20569,8.43484,5.0184,101,22.76420,30280.00000,113.56459,11274196.00000,88.43,"Europe and Central Asia",0.896,0.832,0.642
"Belgium","BEL",2016,476000000000.00000,79.42962,78.23541,0.20114,8.31066,4.7685,110,22.76420,30280.00000,110.90398,11331422.00000,86.11,"Europe and Central Asia",0.896,0.832,0.641
"Bolivia","BOL",2000,8397855937.00000,18.27474,27.32303,0.46774,0.94361,4.6635,2,50.86439,1083300.00000,6.78044,8592656.00000,19.76,"Latin America and the Caribbean",0.751,0.530,0.453
"Bolivia","BOL",2001,8141517339.00000,19.97215,25.25567,0.44324,0.89330,5.5967,2,50.67835,1083300.00000,8.91733,8746084.00000,18.56,"Latin America and the Caribbean",0.748,0.529,0.450
"Bolivia","BOL",2002,7905485146.00000,21.63446,27.71581,0.46164,0.93696,7.3006,2,50.49230,1083300.00000,11.49737,8900583.00000,17.43,"Latin America and the Caribbean",0.732,0.515,0.443
"Bolivia","BOL",2003,8082399991.00000,25.60073,26.36710,0.47852,0.98027,6.8546,2,50.30626,1083300.00000,14.11936,9057378.00000,16.21,"Latin America and the Caribbean",0.731,0.530,0.448
"Bolivia","BOL",2004,8773451752.00000,31.13839,26.32588,0.48541,1.01802,6.8314,2,50.12022,1083300.00000,19.53922,9216279.00000,15.50,"Latin America and the Caribbean",0.762,0.549,0.516
"Bolivia","BOL",2005,9549122313.00000,35.54814,32.09380,0.48966,1.05392,6.7776,2,49.93418,1083300.00000,25.82171,9377388.00000,15.31,"Latin America and the Caribbean",0.754,0.541,0.522
"Bolivia","BOL",2006,11451845379.00000,41.77171,32.76613,0.50657,1.12284,7.2680,2,49.74814,1083300.00000,30.13984,9542663.00000,15.01,"Latin America and the Caribbean",0.732,0.470,0.560
"Bolivia","BOL",2007,13120107739.00000,41.79566,34.26625,0.53838,1.22617,6.6518,2,49.56210,1083300.00000,33.51209,9711152.00000,14.55,"Latin America and the Caribbean",0.727,0.466,0.560
"Bolivia","BOL",2008,16674276979.00000,44.90656,37.96046,0.54241,1.28881,6.1846,2,49.37606,1083300.00000,50.99491,9880593.00000,13.59,"Latin America and the Caribbean",0.725,0.461,0.559
"Bolivia","BOL",2009,17339992194.00000,35.72262,32.90445,0.55925,1.35011,6.3652,2,49.19002,1083300.00000,64.31385,10051317.00000,11.95,"Latin America and the Caribbean",0.718,0.443,0.574
"Bolivia","BOL",2010,19649724656.00000,41.18746,34.32417,0.58188,1.43811,6.0026,2,49.00398,1083300.00000,70.22502,10223270.00000,10.38,"Latin America and the Caribbean",0.692,0.416,0.562
"Bolivia","BOL",2011,23963162969.00000,44.09170,38.38869,0.60161,1.53822,6.4029,2,48.80850,1083300.00000,80.34894,10396246.00000,8.81,"Latin America and the Caribbean",0.687,0.412,0.554
"Bolivia","BOL",2012,27084497482.00000,47.16620,37.78256,0.60699,1.60468,5.9338,2,48.61303,1083300.00000,89.81532,10569697.00000,8.11,"Latin America and the Caribbean",0.681,0.405,0.540
"Bolivia","BOL",2013,30659338886.00000,44.09248,37.13843,0.60733,1.68699,4.7869,2,48.41755,1083300.00000,97.04333,10743349.00000,7.75,"Latin America and the Caribbean",0.666,0.405,0.522
"Bolivia","BOL",2014,32996188017.00000,43.29309,41.97138,0.61892,1.78422,5.1832,2,48.22208,1083300.00000,95.72550,10916987.00000,7.78,"Latin America and the Caribbean",0.651,0.397,0.502
"Bolivia","BOL",2015,33000198249.00000,30.86830,37.06455,0.60614,1.80367,5.3185,2,48.02660,1083300.00000,91.63887,11090085.00000,7.85,"Latin America and the Caribbean",0.618,0.375,0.466
"Bolivia","BOL",2016,33941126194.00000,24.48801,31.91303,0.61989,1.89369,5.0107,2,47.77133,1083300.00000,89.72922,11263015.00000,7.41,"Latin America and the Caribbean",0.627,0.377,0.463
"Brazil","BRA",2000,655000000000.00000,10.18805,12.45171,0.26438,1.78350,7.0446,12,65.93436,8358140.00000,13.18456,175873720.00000,19.76,"Latin America and the Caribbean",0.857,0.735,0.599
"Brazil","BRA",2001,560000000000.00000,12.37171,14.56457,0.26550,1.79211,6.9575,12,65.46167,8358140.00000,16.13011,178211881.00000,18.56,"Latin America and the Caribbean",0.857,0.735,0.599
"Brazil","BRA",2002,510000000000.00000,14.23059,13.38777,0.25633,1.76065,4.4531,12,64.98898,8358140.00000,19.32713,180476685.00000,17.43,"Latin America and the Caribbean",0.859,0.737,0.599
"Brazil","BRA",2003,558000000000.00000,15.18078,12.95960,0.24790,1.70185,6.6440,12,64.51630,8358140.00000,25.39202,182629278.00000,16.21,"Latin America and the Caribbean",0.857,0.741,0.611
"Brazil","BRA",2004,669000000000.00000,16.54576,13.13249,0.24775,1.77844,6.5096,13,64.04361,8358140.00000,35.51552,184722043.00000,15.50,"Latin America and the Caribbean",0.857,0.741,0.611
"Brazil","BRA",2005,892000000000.00000,15.24383,11.84297,0.24238,1.77566,6.4452,15,63.57092,8358140.00000,46.15180,186797334.00000,15.31,"Latin America and the Caribbean",0.876,0.784,0.660
"Brazil","BRA",2006,1110000000000.00000,14.37432,11.66738,0.23591,1.77748,6.0665,15,63.09823,8358140.00000,52.91720,188820682.00000,15.01,"Latin America and the Caribbean",0.876,0.783,0.659
"Brazil","BRA",2007,1400000000000.00000,13.32768,11.96494,0.23363,1.84798,6.1191,18,62.62554,8358140.00000,63.41359,190779453.00000,14.55,"Latin America and the Caribbean",0.870,0.776,0.655
"Brazil","BRA",2008,1700000000000.00000,13.53400,13.72357,0.23560,1.93922,6.3792,18,62.15286,8358140.00000,78.18529,192672317.00000,13.59,"Latin America and the Caribbean",0.870,0.776,0.654
"Brazil","BRA",2009,1670000000000.00000,10.85137,11.25460,0.22097,1.79933,6.3106,18,61.68017,8358140.00000,87.07985,194517549.00000,11.95,"Latin America and the Caribbean",0.870,0.776,0.654
"Brazil","BRA",2010,2210000000000.00000,10.86558,11.90659,0.23364,2.02661,5.9962,18,61.20748,8358140.00000,100.29360,196353492.00000,10.38,"Latin America and the Caribbean",0.872,0.781,0.650
"Brazil","BRA",2011,2620000000000.00000,11.58251,12.35189,0.23621,2.11063,6.0568,18,61.02333,8358140.00000,118.25171,198185302.00000,8.81,"Latin America and the Caribbean",0.876,0.787,0.648
"Brazil","BRA",2012,2470000000000.00000,11.87754,13.23673,0.25167,2.27142,6.2273,18,60.83917,8358140.00000,124.17569,199977707.00000,8.11,"Latin America and the Caribbean",0.872,0.783,0.641
"Brazil","BRA",2013,2470000000000.00000,11.74223,14.04373,0.26187,2.41345,5.9074,18,60.65502,8358140.00000,134.39293,201721767.00000,7.75,"Latin America and the Caribbean",0.877,0.791,0.633
